1221201382|5A|hihi
1221201505|5A|null
1221201637|5B|null
1221201497|5B|null
1221201625|5C|null
1221203197|5C|null
123|1A|null
1221201000|3D|null
12212647|6D|null
1221201777|7D|Smart.
1221201321|1A|null
1221201333|5D|null
1221201444|5D|nice nice
1221201383|5D|very best
1221201383|5D|null
1221201383|5D|nice
1221201383|5D|good
1234567890|5D|123
1234567890|5D|
1221201001|5A|
1221201002|5B|
1221201003|5C|
1221201004|5D|
1221201005|5A|
1221201006|5B|
1221201007|5C|
1221201008|5D|
1221201009|1A|
1221201010|2A|
1221201011|3A|
1221201012|3B|
1221201013|5A|
1221201014|5B|
1221201015|5C|
1221201016|5D|
1221201017|1A|
1221201018|2A|
1221201019|3A|
1221201020|3B|
1221201021|5A|
1221201022|5B|
1221201023|5C|
1221201024|5D|
1221201025|1A|
1221201026|2A|
1221201027|3A|
1221201028|3B|
1221201029|5A|
1221201030|5B|
1221201031|5C|
1221201032|5D|
1221201033|1A|
1221201034|2A|
1221201035|3A|
1221201036|3B|
1221201037|5A|
1221201038|5B|
1221201039|5C|
1221201040|5D|
1221201041|1A|
1221201042|2A|
1221201043|3A|
1221201044|3B|
1221201045|5A|
1221201046|5B|
1221201047|5C|
1221201048|5D|
1221201049|1A|
1221201050|2A|
